Date,Close,High,Low,Open,Volume
2025-08-13,9.5,9.899999618530272,8.949999809265137,9.699999809265137,49080
2025-08-14,9.600000381469728,9.699999809265137,9.300000190734863,9.449999809265137,9380
2025-08-15,9.5,9.5,9.170000076293944,9.449999809265137,6400
2025-08-18,9.550000190734863,9.649999618530272,9.25,9.550000190734863,10960
2025-08-19,9.149999618530272,9.619999885559082,9.050000190734863,9.350000381469728,15020
2025-08-20,8.75,9.149999618530272,8.600000381469727,9.100000381469728,10320
2025-08-21,8.350000381469727,8.710000038146973,8.100000381469727,8.710000038146973,13760
2025-08-22,8.75,8.75,8.350000381469727,8.350000381469727,7480
2025-08-25,9.0,9.0600004196167,8.75,9.0,7760
2025-08-26,9.050000190734863,9.75,8.649999618530273,8.800000190734863,11860
2025-08-27,9.350000381469728,9.649999618530272,8.850000381469727,8.850000381469727,14580
2025-08-28,9.399999618530272,9.600000381469728,9.0,9.28499984741211,4480
2025-08-29,9.399999618530272,9.600000381469728,8.949999809265137,9.350000381469728,13040
2025-09-02,9.949999809265137,9.949999809265137,9.300000190734863,9.399999618530272,20260
2025-09-03,9.25,9.850000381469728,9.199999809265137,9.399999618530272,13740
2025-09-04,8.850000381469727,9.21500015258789,8.600000381469727,8.899999618530273,6940
2025-09-05,9.149999618530272,9.199999809265137,8.850000381469727,8.899999618530273,2900
2025-09-08,9.125,9.25,8.850000381469727,9.0,8580
2025-09-09,9.800000190734863,9.949999809265137,9.140000343322754,9.149999618530272,21180
2025-09-10,10.0,10.449999809265137,9.600000381469728,9.850000381469728,30500
2025-09-11,10.395000457763672,10.600000381469728,9.800000190734863,9.850000381469728,25100
2025-09-12,9.850000381469728,10.350000381469728,9.800000190734863,10.199999809265137,5040
2025-09-15,10.03499984741211,10.050000190734863,9.600000381469728,9.899999618530272,11900
2025-09-16,10.199999809265137,10.25,9.850000381469728,10.0,13560
2025-09-17,10.300000190734863,13.0,9.600000381469728,10.399999618530272,178000
2025-09-18,9.350000381469728,10.0,9.0,9.899999618530272,44720
2025-09-19,9.399999618530272,9.5,9.100000381469728,9.449999809265137,13580
2025-09-22,9.899999618530272,10.5,9.300000190734863,9.550000190734863,18700
2025-09-23,9.899999618530272,10.199999809265137,9.670000076293944,10.0,9840
2025-09-24,9.75,9.864999771118164,9.550000190734863,9.75,4160
2025-09-25,9.699999809265137,9.75,9.149999618530272,9.75,9700
2025-09-26,9.199999809265137,9.399999618530272,9.0,9.399999618530272,4560
2025-09-29,9.050000190734863,9.100000381469728,8.800000190734863,9.0,8700
2025-09-30,8.949999809265137,9.199999809265137,8.824999809265137,9.149999618530272,7120
2025-10-01,9.375,9.720000267028809,8.800000190734863,8.949999809265137,10380
